days,departure_date,now,pageid,price,title,titleid,titleurl,total
5,2019-03-16,17,P001,23500,"東方航空~閃亮南京.湖州.杭州.烏鎮.無錫洲際尊爵五天",NKG05190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=NKG05190316A,17
4,2019-03-16,0,P001,24900,"沖繩享樂趣～鬼斧神工玉泉洞‧小希臘瀨長島‧琉服體驗四日A檔",OKA04190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=OKA04190316A,14
8,2019-03-17,0,P001,39900,"印度傳奇~印度金三角.泰姬瑪哈陵.貴族皇宮.瑜珈體驗8天",DEL08190317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=DEL08190317A,18
7,2019-03-17,15,P001,59900,"【哈吉假期】銀色烏茲別克斯坦.伊斯蘭風情高鐵七日",TAS07190317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TAS07190317A,16
11,2019-03-17,0,P001,59900,"【COSTA皇冠號】西地中海郵輪假期11日",MIL11190317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=MIL11190317A,32
9,2019-03-17,21,P001,66900,"大圓滿升級版~奢華凡賽斯東澳全覽三城9天(包小費)",AUCIMB90317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=AUCIMB90317A&sacctNo=27978086,22
12,2019-03-17,34,P001,105800,"【金旅獎回饋團】慶祝榮獲2018金旅獎紐西蘭南北島12天",AZCIAA90317D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=AZCIAA90317D&sacctNo=27978086,35
8,2019-03-10,0,P001,19900,"★冬季版★攻略山東~觀天鵝、海鷗情緣8天(單飛)",YNT08190310B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=YNT08190310B,16
6,2019-03-10,14,P001,22900,"宿霧~薄荷●雙跳島●歐斯陸~超值5+1日-《二人成行-虎航》",CEB05190310B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190310B,16
5,2019-03-10,0,P001,23900,"京阪神+奈良四都精緻休閒五日-台虎",OSA05190310C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=OSA05190310C,13
1,2019-03-14,30,P001,1299,"台北竹子湖海芋花田+金勇農場番茄採果一日遊",TWN01190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TWN01190314A,30
4,2019-03-14,0,P001,11900,"時尚韓國~冰雪雙樂園、幻多奇秀、勁爆四日【台中長榮】",SEL04190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SEL04190314A,20
5,2019-03-14,0,P001,13500,"韓國玩粉大~愛寶樂園、小法國村、亂打秀、旗艦美食長腳蟹吃到飽五日【保證不上攝影】",SEL05190314D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SEL05190314D,18
5,2019-03-16,0,P001,27900,"【絕美東北】藏王樹冰大內宿.會津鐵道.伊香保石段街.佛光山溫泉五日-新潟周六出發",KIJ05190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=KIJ05190316A,35
5,2019-03-16,16,P001,27900,"【絕美東北】藏王樹冰大內宿.會津鐵道.伊香保石段街.佛光山溫泉五日-新潟周六出發",KIJ05190316B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=KIJ05190316B,35
11,2019-03-16,0,P001,29900,"【土耳其】探索番紅花城神秘驚奇熱氣球之旅11日-QR卡達航空",IST11190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=IST11190316A,33
4,2019-03-16,37,P001,35900,"J新潟傳奇~越後新潟小木盆舟季節採果樂月岡溫泉五日",KIJ05190316C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=KIJ05190316C,38
5,2019-03-16,2,P001,45000,"夢幻仙境蘇梅島5日遊-精采離島之旅2選1(兩人成行.含小費)",USM05190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=USM05190316A,2
5,2019-03-15,18,P001,24200,"「越來越好玩」尊爵風情北越長安雙龍灣摩天輪五日--華航",HAN05190315B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190315B,18
4,2019-03-15,34,P001,26900,"新潟+藏王樹冰溫泉美食四日-遠東周五出發",KIJ04190315A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=KIJ04190315A,35
8,2019-03-15,15,P001,26900,"東北長白山.牡丹江.鏡泊湖.伏爾加莊園8天",HRB08190315A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HRB08190315A,16
5,2019-03-18,0,P001,7999,"易起輕鬆玩濟州5天~中央地下街、春日咖啡廳、山君不離、亂打秀五日(易斯達航空)",CJU05190318B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CJU05190318B,32
5,2019-03-18,25,P001,11999,"韓國想櫻美食玩粉大~玩樂天住樂天世界、亂打秀、生肉吃到飽五日【保證不上攝影、保證升等一晚樂天世界】【台中德威】",SEL05190318C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SEL05190318C,25
5,2019-03-18,0,P001,12900,"釜山玩巨濟島~積木村、大陵苑天馬塚、饗宴美食宵夜餐五日【升等兩晚五花酒店、不上攝影】虎航(釜進邱出)",PUS05190318A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=PUS05190318A,22
5,2019-03-18,20,P001,15500,"越來越超值北越長安雙龍灣五日遊(越捷三星飯店+購物)",HAN05190318D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190318D,20
5,2019-03-18,20,P001,16500,"越來越嗨北越雙龍灣摩天輪五日遊(越捷四星版+購物)",HAN05190318C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190318C,20
5,2019-03-18,0,P001,26900,"【絕美東北】藏王樹冰大內宿.會津鐵道.伊香保石段街.佛光山溫泉五日-新潟周一出發",KIJ05190318A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=KIJ05190318A,35
9,2019-03-18,0,P001,42900,"【荷蘭鬱金香王國、比利時啤酒巧克力、法國拜金之都】直飛9日",AMS09190318A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=AMS09190318A,42
12,2019-03-18,0,P001,49900,"亞德里亞海~克羅埃西亞.斯洛維尼、波士尼亞三國12日-國航",SPU12190318A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SPU12190318A,40
8,2019-03-10,17,P001,39900,"印度傳奇~印度金三角.泰姬瑪哈陵.貴族皇宮.瑜珈體驗8天",DEL08190310A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=DEL08190310A,18
7,2019-03-10,15,P001,59900,"【哈吉假期】銀色烏茲別克斯坦.伊斯蘭風情高鐵七日",TAS07190310A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TAS07190310A,16
5,2019-03-11,20,P001,15500,"越來越超值北越長安雙龍灣五日遊(越捷三星飯店+購物)",HAN05190311E,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190311E,20
5,2019-03-11,20,P001,16500,"越來越嗨北越雙龍灣摩天輪五日遊(越捷四星版+購物)",HAN05190311D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190311D,20
4,2019-03-11,16,P001,18900,"中國世家~璀璨澳門-港珠澳大橋.歡樂海洋王國.大三巴豪華4天",MFM04190311A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=MFM04190311A,16
6,2019-03-12,16,P001,27500,"宿霧~薄荷島~尊爵5+1日遊-《二人成行-虎航》",CEB05190312C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190312C,16
10,2019-03-12,0,P001,47900,"【典藏歐洲】法國、比利時、荷蘭、盧森堡四國驚艷10天",CDG10190312A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CDG10190312A,26
5,2019-03-13,0,P001,9900,"爆滿海南~三亞+興隆全程五星希爾頓飯店5天",SYX05190313D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SYX05190313D,25
5,2019-03-13,0,P001,12900,"★冬季限定版★小資山東體驗~小合掌村、天鵝湖五天(無購物)",YNT05190313A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=YNT05190313A,29
5,2019-03-14,16,P001,16500,"宿霧~雙跳島~輕鬆走4+1日遊-《二人成行-虎航》",CEB04190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB04190314A,16
5,2019-03-14,16,P001,18500,"宿霧~雙跳島●歐斯陸~超值4+1日遊-《二人成行-虎航》",CEB04190314B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB04190314B,16
4,2019-03-14,0,P001,20900,"日本東北藏王樹冰+戲雪樂+溫泉美食4日-福福",FKS04190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=FKS04190314A,35
5,2019-03-14,16,P001,23500,"宿霧~薄荷島●歐斯陸~全覽4+1日遊-《二人成行-虎航》",CEB04190314C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB04190314C,16
5,2019-03-14,25,P001,24900,"京阪神+奈良四都精緻休閒五日-台虎",OSA05190314D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=OSA05190314D,26
10,2019-03-16,0,P001,47900,"【典藏歐洲】法國、比利時、荷蘭、盧森堡四國驚艷10天",CDG10190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CDG10190316A,26
1,2019-03-17,30,P001,1299,"台北竹子湖海芋花田+金勇農場番茄採果一日遊",TWN01190317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TWN01190317A,30
4,2019-03-17,36,P001,6900,"爆滿海南~三亞鹿回頭.玫瑰谷.椰夢長廊.無敵海景4天",SYX04190317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SYX04190317A,36
4,2019-03-17,16,P001,7400,"爆滿海南~三亞+興隆全程五星希爾頓飯店4天",SYX04190317D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SYX04190317D,20
8,2019-03-15,19,P001,29900,"最憶中國~黃山千島湖.杭州西溪溼地8天【山上2晚.無購物】",HGH08190315A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HGH08190315A,20
5,2019-03-15,18,P001,33700,"「越來越好玩」奢華雅儷北越雙龍灣海上VILLA五日遊--華航",HAN05190315C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190315C,18
9,2019-03-15,21,P001,66900,"大圓滿升級版~奢華凡賽斯東澳全覽三城9天(包小費)",AUCIMB90315A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=AUCIMB90315A&sacctNo=27978086,22
10,2019-03-15,8,P001,83800,"【金旅獎】新一品紐西蘭南北島冰河火車峽灣9+1天(奧奧)",AKL10190315A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=AKL10190315A,26
1,2019-03-16,30,P001,1299,"台北竹子湖海芋花田+金勇農場番茄採果一日遊",TWN01190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TWN01190316A,30
4,2019-03-18,16,P001,18900,"中國世家~璀璨澳門-港珠澳大橋.歡樂海洋王國.大三巴豪華4天",MFM04190318A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=MFM04190318A,16
5,2019-03-18,20,P001,19500,"越來越嗨北越雙龍灣海上VILLA五日遊(越捷四星+皇海號+購物)",HAN05190318E,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190318E,20
5,2019-03-18,16,P001,25000,"泰勁爆-美斯樂、熱石SPA、帝王蟹吃到飽五日(只走乳膠)(長榮)",BKK05190318A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK05190318A,16
5,2019-03-19,0,P001,11999,"釜山我就是霸氣~OISHI霸氣海鮮桶、入住五星樂天酒店(含早餐)、汗蒸幕、愛來水族館五天【不上攝影】釜航(釜山進出)",PUS05190319C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=PUS05190319C,13
6,2019-03-19,16,P001,17500,"宿霧~雙跳島~輕鬆走5+1日遊-《二人成行-虎航》",CEB05190319A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190319A,16
6,2019-03-19,0,P001,20900,"南寧跨國德天瀑布.巴馬長壽村.明仕田園6日(無購物.無自費)",NNG06190319A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=NNG06190319A,16
6,2019-03-19,16,P001,23500,"宿霧~薄荷●雙跳島●歐斯陸~超值5+1日-《二人成行-虎航》",CEB05190319B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190319B,16
5,2019-03-19,0,P001,23900,"九州長崎宮崎別府湯布院溫泉螃蟹五日(台虎)",FUK05190319A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=FUK05190319A,25
5,2019-03-11,20,P001,19500,"越來越嗨北越雙龍灣海上VILLA五日遊(越捷四星+皇海號+購物)",HAN05190311F,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190311F,20
4,2019-03-11,0,P001,19900,"沖繩兜兜風～恐龍森林公園、海洋博、奇岩萬座毛、琉球體驗四日",OKA04190311C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=OKA04190311C,10
5,2019-03-11,0,P001,20200,"「越來越好玩」深度風情北越長安雙龍灣五日(四星飯店)(華信)",HAN05190311C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190311C,20
5,2019-03-11,16,P001,25500,"菲要好玩～歐斯陸鯨鯊、薄荷島、雙跳島5日遊-長榮《六人成行》",CEB05190311A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190311A,16
5,2019-03-13,20,P001,14999,"越來越嗨北越雙龍灣摩天輪五日遊(越捷四星版+購物)",HAN05190313C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190313C,20
5,2019-03-13,20,P001,15500,"越來越超值北越長安雙龍灣五日遊(越捷三星飯店+購物)",HAN05190313D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190313D,20
4,2019-03-13,16,P001,15900,"中國世家~幻彩澳門-港珠澳大橋.歡樂海洋王國.石景山公園4天",MFM04190313A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=MFM04190313A,16
5,2019-03-13,0,P001,16000,"愛玩韓國~豪華遊輪、愛寶樂園、塗鴉秀5日【2晚市區飯店】台北出發-長榮航空",SEL05190313A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SEL05190313A,69
6,2019-03-13,20,P001,16900,"享戀泰國~時尚遊艇夜遊湄南河、168水流蝦燒烤六天【台中】",BKK06190313D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK06190313D,20
8,2019-03-14,0,P001,39900,"波羅的海(愛沙尼亞、拉脫維亞、立陶宛)+波蘭~~四國8天",WAW08190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=WAW08190314A,41
10,2019-03-14,0,P001,39900,"【德國vs捷克雙國】德國柏林.捷克溫泉小鎮.布拉格童話城精彩10日-酷航空",TXL10190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TXL10190314A,33
8,2019-03-14,0,P001,43900,"【典藏歐洲】俄羅斯金環、杜蘭朵美食、馬戲團．世界文化遺產８天",MOW08190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=MOW08190314A,26
12,2019-03-14,0,P001,49900,"亞德里亞海~克羅埃西亞.斯洛維尼、波士尼亞三國12日-國航",SPU12190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SPU12190314A,42
10,2019-03-14,26,P001,83900,"魅力歐洲~德瑞法10日~萊茵三遊船、海德堡纜車、全覽鐵力士山、凱旋門登頂",AMS10190314A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=AMS10190314A,26
5,2019-03-17,0,P001,11999,"釜山我就是霸氣~OISHI霸氣海鮮桶、入住五星樂天酒店(含早餐)、汗蒸幕、愛來水族館五天【不上攝影】釜航(大邱進出)",TAE05190317D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TAE05190317D,17
5,2019-03-17,0,P001,12900,"韓國玩粉大~愛寶樂園、小法國村、亂打秀、旗艦美食長腳蟹吃到飽五日【保證不上攝影】",SEL05190317E,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SEL05190317E,18
4,2019-03-17,20,P001,15499,"爆滿海南~玩翻三亞~水上活動3合1+風帆.精彩搖滾4天",SYX04190317H,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=SYX04190317H,20
6,2019-03-17,0,P001,16900,"享戀泰國~時尚遊艇夜遊湄南河、168水流蝦燒烤六天【台中】",BKK06190317D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK06190317D,18
6,2019-03-17,16,P001,16900,"宿霧~雙跳島~輕鬆走5+1日遊-《二人成行-虎航》",CEB05190317A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190317A,16
5,2019-03-16,0,P001,11999,"釜山我就是霸氣~OISHI霸氣海鮮桶、入住五星樂天酒店(含早餐)、汗蒸幕、愛來水族館五天【不上攝影】釜航(大邱進出)",TAE05190316D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TAE05190316D,20
5,2019-03-16,0,P001,13900,"秋收冬藏愛濟州-塗鴉馬術雙秀、迷宮樂園、汗蒸幕、鐵路自行車五日【全程特二五花+保証不上攝影師】-虎航",CJU05190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CJU05190316A,18
5,2019-03-16,20,P001,15500,"越來越超值北越長安雙龍灣五日遊(越捷三星飯店+購物)",HAN05190316D,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190316D,20
5,2019-03-16,16,P001,15900,"宿霧~雙跳島~輕鬆走4+1日遊-《二人成行-虎航》",CEB04190316A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB04190316A,16
6,2019-03-19,16,P001,27500,"宿霧~薄荷島~尊爵5+1日遊-《二人成行-虎航》",CEB05190319C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190319C,16
5,2019-03-19,0,P001,27900,"東京迪士尼+箱根+富士山溫泉休閒五日-國泰",TYO05190319C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TYO05190319C,28
8,2019-03-19,15,P001,27900,"豫見山東~雙省精緻遊8天",TNA08190319A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=TNA08190319A,16
5,2019-03-19,0,P001,29900,"H北海道神秘然別~丹頂鶴‧冰上村‧破冰船‧三溫泉五日-旭/旭",DTS19319AKJ2,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=DTS19319AKJ2,2
5,2019-03-19,1,P001,29900,"北海道神秘然別~丹頂鶴‧冰上村‧破冰船‧三溫泉五日(旭/旭)",DTS19319AKJ2,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=DTS19319AKJ2&sacctNo=28838401,24
5,2019-03-11,16,P001,27000,"菲要好玩～歐斯陸鯨鯊、墨寶沙丁魚風暴5日遊-長榮《六人成行》",CEB05190311B,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190311B,16
5,2019-03-11,16,P001,29000,"菲要好玩～豪華歐斯陸5日-長榮《六人成行》",CEB05190311C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CEB05190311C,16
10,2019-03-11,0,P001,39900,"【奧地利、捷克】愛戀雙國.湖區.溫泉.古堡.音樂之都10-市場最超值",EEA10190311A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=EEA10190311A,82
5,2019-03-12,0,P001,12900,"★冬季限定版★小資山東體驗~小合掌村、天鵝湖五天(無購物)",YNT05190312A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=YNT05190312A,32
6,2019-03-13,0,P001,16900,"豫見你唯美河南~林州大峽谷精選6日",CGO06190313A,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=CGO06190313A,17
5,2019-03-13,20,P001,19500,"越來越嗨北越雙龍灣海上VILLA五日遊(越捷四星+皇海號+購物)",HAN05190313E,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=HAN05190313E,20
4,2019-03-13,0,P001,19900,"沖繩兜兜風～恐龍森林公園、海洋博、奇岩萬座毛、琉球體驗四日",OKA04190313C,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=OKA04190313C,16
6,2019-03-13,20,P001,19900,"帝寶泰國情緣~人妖秀VIP、黃金海岸人魚灣、360度環景高空酒吧、水上市場、時尚遊艇、泰式指壓六天【台中直飛】(泰越捷)",BKK06190313E,https://www.newamazing.com.tw/EW/GO/GroupDetail.asp?prodCd=BKK06190313E,20
